site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Brown Creeper,Certhia americana,17,22
amelia,Amelia,Brown Noddy,Anous stolidus,0,0
amelia,Amelia,Brown Pelican,Pelecanus occidentalis,0,0
amelia,Amelia,Brown Thrasher,Toxostoma rufum,121,202
amelia,Amelia,Brown-chested Martin,Progne tapera,0,0
amelia,Amelia,Brown-headed Cowbird,Molothrus ater,108,499
amelia,Amelia,Brown-headed Nuthatch,Sitta pusilla,0,0
amelia,Amelia,Budgerigar,Melopsittacus undulatus,0,0
amelia,Amelia,Buff-bellied Hummingbird,Amazilia yucatanensis,0,0
amelia,Amelia,Buff-breasted Sandpiper,Calidris subruficollis,0,0
amelia,Amelia,Bufflehead,Bucephala albeola,15,54
amelia,Amelia,Bullock's Oriole,Icterus bullockii,0,0
amelia,Amelia,Bullock's x Baltimore Oriole (hybrid),Icterus bullockii x galbula,0,0
amelia,Amelia,Bullock's/Baltimore Oriole,Icterus bullockii/galbula,0,0
amelia,Amelia,Bulwer's Petrel,Bulweria bulwerii,0,0
amelia,Amelia,Burrowing Owl,Athene cunicularia,0,0
amelia,Amelia,Buteo sp.,Buteo sp.,0,0
amelia,Amelia,Buteo/eagle sp.,Buteo/eagle sp.,0,0
amelia,Amelia,Cackling Goose,Branta hutchinsii,0,0
amelia,Amelia,Cackling/Canada Goose,Branta hutchinsii/canadensis,0,0
amelia,Amelia,Calidris sp.,Calidris sp.,0,0
amelia,Amelia,California Gull,Larus californicus,0,0
amelia,Amelia,Calliope Hummingbird,Selasphorus calliope,0,0
amelia,Amelia,Canada Goose,Branta canadensis,122,647
amelia,Amelia,Canada Warbler,Cardellina canadensis,0,0
amelia,Amelia,Canvasback,Aythya valisineria,0,0
amelia,Amelia,Cape May Warbler,Setophaga tigrina,8,13
amelia,Amelia,Caprimulgus sp.,Caprimulgus sp.,0,0
amelia,Amelia,Carolina Chickadee,Poecile carolinensis,275,841
amelia,Amelia,Carolina Wren,Thryothorus ludovicianus,356,1326
amelia,Amelia,Carolina x Black-capped Chickadee (hybrid),Poecile carolinensis x atricapillus,0,0
amelia,Amelia,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,0,0
amelia,Amelia,Caspian Tern,Hydroprogne caspia,0,0
amelia,Amelia,Cassin's/Blue-headed Vireo,Vireo cassinii/solitarius,0,0
amelia,Amelia,Cassin's/Western Kingbird,Tyrannus vociferans/verticalis,0,0
amelia,Amelia,Catharus sp.,Catharus sp.,0,0
amelia,Amelia,Cave Swallow,Petrochelidon fulva,0,0
amelia,Amelia,Cedar Waxwing,Bombycilla cedrorum,53,697
amelia,Amelia,Cerulean Warbler,Setophaga cerulea,0,0
amelia,Amelia,Cerulean Warbler x Northern Parula (hybrid),Setophaga cerulea x americana,0,0
amelia,Amelia,Chestnut-collared Longspur,Calcarius ornatus,0,0
amelia,Amelia,Chestnut-sided Warbler,Setophaga pensylvanica,8,10
amelia,Amelia,Chilean Flamingo,Phoenicopterus chilensis,0,0
amelia,Amelia,Chimney Swift,Chaetura pelagica,20,62
amelia,Amelia,Chipping Sparrow,Spizella passerina,153,438
amelia,Amelia,Chipping Sparrow/Worm-eating Warbler,Spizella passerina/Helmitheros vermivorum,0,0
amelia,Amelia,Chroicocephalus sp.,Chroicocephalus sp.,0,0
amelia,Amelia,Chuck-will's-widow,Antrostomus carolinensis,0,0
amelia,Amelia,Chukar,Alectoris chukar,0,0
amelia,Amelia,Cinnamon Teal,Spatula cyanoptera,0,0
amelia,Amelia,Clapper Rail,Rallus crepitans,0,0
amelia,Amelia,Clark's Grebe,Aechmophorus clarkii,0,0
amelia,Amelia,Clay-colored Sparrow,Spizella pallida,0,0
amelia,Amelia,Clay-colored x Field Sparrow (hybrid),Spizella pallida x pusilla,0,0
amelia,Amelia,Cliff Swallow,Petrochelidon pyrrhonota,0,0
amelia,Amelia,Cliff/Cave Swallow,Petrochelidon pyrrhonota/fulva,0,0
amelia,Amelia,Coccyzus sp.,Coccyzus sp.,0,0
amelia,Amelia,Cockatiel,Nymphicus hollandicus,0,0
amelia,Amelia,Common Eider,Somateria mollissima,0,0
amelia,Amelia,Common Gallinule,Gallinula galeata,0,0
amelia,Amelia,Common Goldeneye,Bucephala clangula,0,0
amelia,Amelia,Common Grackle,Quiscalus quiscula,36,116
amelia,Amelia,Common Ground Dove,Columbina passerina,0,0
amelia,Amelia,Common Gull,Larus canus,0,0
amelia,Amelia,Common Loon,Gavia immer,2,3
amelia,Amelia,Common Merganser,Mergus merganser,0,0
amelia,Amelia,Common Murre,Uria aalge,0,0
amelia,Amelia,Common Nighthawk,Chordeiles minor,0,0
amelia,Amelia,Common Raven,Corvus corax,9,10
amelia,Amelia,Common Tern,Sterna hirundo,0,0
amelia,Amelia,Common Yellowthroat,Geothlypis trichas,167,616
amelia,Amelia,Common/Arctic Tern,Sterna hirundo/paradisaea,0,0
amelia,Amelia,Common/Red-breasted Merganser,Mergus merganser/serrator,0,0
amelia,Amelia,Common/Wilson's Snipe,Gallinago gallinago/delicata,0,0
amelia,Amelia,Connecticut Warbler,Oporornis agilis,0,0
amelia,Amelia,Connecticut/MacGillivray's/Mourning Warbler,Oporornis/Geothlypis sp. (Mourning-type),0,0
amelia,Amelia,Cooper's Hawk,Astur cooperii,13,13
amelia,Amelia,Cooper's Hawk/American Goshawk,Astur cooperii/atricapillus,0,0
amelia,Amelia,Cory's Shearwater,Calonectris borealis,0,0
amelia,Amelia,Cory's/Scopoli's Shearwater,Calonectris borealis/diomedea,0,0
amelia,Amelia,Cory's/Scopoli's/Great Shearwater,Calonectris borealis/diomedea/Ardenna gravis,0,0
amelia,Amelia,Couch's Kingbird,Tyrannus couchii,0,0
amelia,Amelia,Crested Caracara,Caracara plancus,0,0
amelia,Amelia,Curlew Sandpiper,Calidris ferruginea,0,0
amelia,Amelia,Dark-eyed Junco,Junco hyemalis,62,329
amelia,Amelia,Dark-eyed Junco x White-throated Sparrow (hybrid),Junco hyemalis x Zonotrichia albicollis,0,0
amelia,Amelia,Desertas Petrel,Pterodroma deserta,0,0
amelia,Amelia,Diamond Dove,Geopelia cuneata,0,0
amelia,Amelia,Dickcissel,Spiza americana,0,0
amelia,Amelia,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),0,0
amelia,Amelia,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,0,0
amelia,Amelia,Double-crested Cormorant,Nannopterum auritum,63,124
amelia,Amelia,Double-crested/Neotropic Cormorant,Nannopterum auritum/brasilianum,0,0
amelia,Amelia,Dovekie,Alle alle,0,0
amelia,Amelia,Downy Woodpecker,Dryobates pubescens,204,289
amelia,Amelia,Downy/Hairy Woodpecker,Dryobates pubescens/Leuconotopicus villosus,1,1
amelia,Amelia,Dunlin,Calidris alpina,0,0
amelia,Amelia,Dunlin x White-rumped Sandpiper (hybrid),Calidris alpina x fuscicollis,0,0
amelia,Amelia,Dusky Flycatcher,Empidonax oberholseri,0,0
amelia,Amelia,Eared Grebe,Podiceps nigricollis,0,0
amelia,Amelia,Eastern Bluebird,Sialia sialis,190,642
amelia,Amelia,Eastern Kingbird,Tyrannus tyrannus,49,80
amelia,Amelia,Eastern Meadowlark,Sturnella magna,36,48
amelia,Amelia,Eastern Phoebe,Sayornis phoebe,175,321
amelia,Amelia,Eastern Screech-Owl,Megascops asio,12,21
amelia,Amelia,Eastern Towhee,Pipilo erythrophthalmus,233,872
amelia,Amelia,Eastern Warbling Vireo,Vireo gilvus,4,6
amelia,Amelia,Eastern Whip-poor-will,Antrostomus vociferus,5,5
